id,parent,label,value,color
gr_heep_top,,Gr Heep Top,43437678.3292,blue
u_core_v_mini_mcu,gr_heep_top,Core V Mini Mcu,43424872.2973,blue
ao_peripheral_subsystem_i,u_core_v_mini_mcu,Ao Peripheral Subsystem,355148.1084,blue
boot_rom_i,ao_peripheral_subsystem_i,Boot Rom,1386.3296,blue
dma_subsystem_i,ao_peripheral_subsystem_i,Dma Subsystem,48739.2442,blue
dma_i_gen_0__dma_i,dma_subsystem_i,Dma I Dma,48735.4906,blue
clk_gate_window_counter_reg,dma_i_gen_0__dma_i,Clk Gate Window Counter Reg,20.0192,blue
clk_gating_cell_1,dma_i_gen_0__dma_i,Clk Gating Cell,22.5216,blue
clk_gating_i_1,clk_gating_cell_1,Clk Gating,18.768,blue
dma_obiread_addr_fsm_i,dma_i_gen_0__dma_i,Dma Obiread Addr Fsm,3405.7664,blue
clk_gate_addr_ptr_reg_reg,dma_obiread_addr_fsm_i,Clk Gate Addr Ptr Reg Reg,20.0192,blue
dma_obiread_fsm_i,dma_i_gen_0__dma_i,Dma Obiread Fsm,7714.899,blue
clk_gate_dma_src_cnt_d1_reg,dma_obiread_fsm_i,Clk Gate Dma Src Cnt D1 Reg,20.0192,blue
clk_gate_dma_src_cnt_d2_reg,dma_obiread_fsm_i,Clk Gate Dma Src Cnt D2 Reg,20.0192,blue
clk_gate_read_ptr_reg_reg,dma_obiread_fsm_i,Clk Gate Read Ptr Reg Reg,20.0192,blue
clk_gate_trsp_src_ptr_reg_reg,dma_obiread_fsm_i,Clk Gate Trsp Src Ptr Reg Reg,20.0192,blue
dma_obiwrite_fsm_i,dma_i_gen_0__dma_i,Dma Obiwrite Fsm,4623.1839,blue
clk_gate_dma_dst_cnt_d1_reg,dma_obiwrite_fsm_i,Clk Gate Dma Dst Cnt D1 Reg,20.0192,blue
clk_gate_write_ptr_reg_reg,dma_obiwrite_fsm_i,Clk Gate Write Ptr Reg Reg,20.0192,blue
dma_padding_fsm_i,dma_i_gen_0__dma_i,Dma Padding Fsm,5227.5135,blue
clk_gate_dma_cnt_d1_reg,dma_padding_fsm_i,Clk Gate Dma Cnt D1 Reg,20.0192,blue
clk_gate_dma_cnt_d2_reg,dma_padding_fsm_i,Clk Gate Dma Cnt D2 Reg,20.0192,blue
clk_gate_pad_state_q_reg,dma_padding_fsm_i,Clk Gate Pad State Q Reg,20.0192,blue
dma_read_addr_fifo_i,dma_i_gen_0__dma_i,Dma Read Addr Fifo,4718.2752,blue
clk_gate_mem_q_reg_0__1,dma_read_addr_fifo_i,Clk Gate Mem Q Reg 0 ,20.0192,blue
clk_gate_mem_q_reg_1__1,dma_read_addr_fifo_i,Clk Gate Mem Q Reg 1 ,20.0192,blue
clk_gate_mem_q_reg_2__1,dma_read_addr_fifo_i,Clk Gate Mem Q Reg 2 ,20.0192,blue
clk_gate_mem_q_reg_3__1,dma_read_addr_fifo_i,Clk Gate Mem Q Reg 3 ,20.0192,blue
clk_gate_status_cnt_q_reg_1,dma_read_addr_fifo_i,Clk Gate Status Cnt Q Reg,20.0192,blue
dma_read_fifo_i,dma_i_gen_0__dma_i,Dma Read Fifo,4694.5024,blue
clk_gate_mem_q_reg_0__2,dma_read_fifo_i,Clk Gate Mem Q Reg 0 ,20.0192,blue
clk_gate_mem_q_reg_1__2,dma_read_fifo_i,Clk Gate Mem Q Reg 1 ,20.0192,blue
clk_gate_mem_q_reg_2__2,dma_read_fifo_i,Clk Gate Mem Q Reg 2 ,20.0192,blue
clk_gate_mem_q_reg_3__2,dma_read_fifo_i,Clk Gate Mem Q Reg 3 ,20.0192,blue
clk_gate_status_cnt_q_reg_2,dma_read_fifo_i,Clk Gate Status Cnt Q Reg,20.0192,blue
dma_reg_top_i,dma_i_gen_0__dma_i,Dma Reg Top,12019.0271,blue
u_addr_ptr,dma_reg_top_i,Addr Ptr,1098.5536,blue
clk_gate_q_reg_1,u_addr_ptr,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_1,u_addr_ptr,Wr En Data Arb,200.192,blue
u_dim_config,dma_reg_top_i,Dim Config,76.3232,blue
wr_en_data_arb_2,u_dim_config,Wr En Data Arb,6.256,blue
u_dim_inv,dma_reg_top_i,Dim Inv,76.3232,blue
wr_en_data_arb_3,u_dim_inv,Wr En Data Arb,6.256,blue
u_dst_data_type,dma_reg_top_i,Dst Data Type,122.6176,blue
